rule,column,rows_affected,notes
name: fix mojibake + normalize,name,14137,ftfy + roundtrip + NFC + whitespace/control strip
name: remaining mojibake markers,name,3,Rows still matching mojibake marker regex (post-fix)
host_since: to_datetime(coerce),host_since,48160,Non-empty values that became NaT
host_response_time: to category,host_response_time,0,Converted dtype to category
host_is_superhost: map to boolean,host_is_superhost,79948,Converted common truthy/falsey strings to pandas boolean dtype
host_has_profile_pic: map to boolean,host_has_profile_pic,79948,Converted common truthy/falsey strings to pandas boolean dtype
host_identity_verified: map to boolean,host_identity_verified,79948,Converted common truthy/falsey strings to pandas boolean dtype
instant_bookable: map to boolean,instant_bookable,80000,Converted common truthy/falsey strings to pandas boolean dtype
host_acceptance_rate: parse % to proportion,host_acceptance_rate,45405,E.g. '95%' -> 0.95
host_response_rate: parse % to proportion,host_response_rate,41023,E.g. '95%' -> 0.95
bedrooms: fill NA with median by property_type,bedrooms,12478,Group-wise median imputation
has_reviews: derived from review_scores_rating,has_reviews,58069,Count of listings with a rating
review_scores_*: fill NA with 0,review_scores_*,154140,Filled all review_scores_* missing values
amenities_clean: derived from amenities,amenities_clean,80000,Removed braces/quotes + lowercased
amenities_count: count amenities,amenities_count,80000,Counted comma-separated items (NA -> 0)
has_wifi: derived flag,has_wifi,74619,amenities_clean contains 'wifi'
